Inverter ID,Combiner ID,Data
8,1,Module Anomaly
8,1,Sub-Module Anomaly
8,2,Module Anomaly
8,2,Multiple Cell
8,2,Surface Fouling
8,3,Module Anomaly
8,3,Sub-Module Anomaly
8,4,Hot Spot - Minor
8,4,Module Anomaly
8,4,Sub-Module Anomaly
8,5,Module Anomaly
8,5,Multiple Cell - Minor
8,5,Sub-Module Anomaly
8,6,Hot Spot - Edge
8,6,Module Anomaly
8,6,Sub-Module Anomaly
7,1,Hot Spot - Edge
7,1,Sub-Module Anomaly
7,1,Surface Fouling
7,2,Sub-Module Anomaly
7,2,Sub-Module Anomaly with Hot Spot(s)
7,3,Module Anomaly
7,4,Sub-Module Anomaly
7,5,Sub-Module Anomaly
7,6,Module Anomaly
6,1,Module Anomaly
6,1,Sub-Module Anomaly
6,2,Broken Module
6,2,Multiple Cell
6,2,Sub-Module Anomaly
6,3,Hot Spot - Edge
6,3,Surface Fouling
6,4,Sub-Module Anomaly
6,5,Sub-Module Anomaly
6,6,Module Anomaly
6,6,Sub-Module Anomaly
5,1,Module Anomaly
5,1,Module Anomaly - Minor
5,2,Module Anomaly - Minor
5,2,Sub-Module Anomaly
5,2,Suspected Shorted Diode(s)
5,3,Module Anomaly
5,3,Module Anomaly - Minor
5,3,Sub-Module Anomaly
5,4,Double Sub-Module Anomaly
5,4,Hot Spot - Edge
5,4,Module Anomaly
5,4,Sub-Module Anomaly
5,5,Sub-Module Anomaly
5,6,Horizontal Cell Anomaly
5,6,Module Anomaly
5,6,Multiple Cell - Minor
5,6,Sub-Module Anomaly
4,1,Multiple Cell - Minor
4,2,Multiple Cell
4,2,Sub-Module Anomaly
4,3,Hot Spot - Minor
4,3,Sub-Module Anomaly
4,4,Sub-Module Anomaly
4,5,Sub-Module Anomaly
3,1,Module Anomaly
3,2,Sub-Module Anomaly
3,3,Sub-Module Anomaly
3,4,Sub-Module Anomaly
3,5,Module Anomaly
3,5,Sub-Module Anomaly
3,6,Sub-Module Anomaly
2,1,Double Sub-Module Anomaly
2,1,Hot Spot - Edge
2,2,Horizontal Cell Anomaly
2,2,Hot Spot - Edge
2,2,Sub-Module Anomaly
2,2,Surface Fouling
2,4,Double Sub-Module Anomaly
2,4,Horizontal Cell Anomaly
2,4,Hot Spot - Edge
2,4,Module Anomaly
2,4,Multiple Cell
2,4,Sub-Module Anomaly
2,4,Surface Fouling
2,5,Hot Spot
2,5,Hot Spot - Edge
2,5,Hot Spot - Minor
2,5,Multiple Cell - Minor
2,5,Sub-Module Anomaly
2,5,Surface Fouling
2,6,Module Anomaly
2,6,Sub-Module Anomaly
1,1,Sub-Module Anomaly
1,2,Hot Spot - Edge
1,2,Surface Fouling
1,3,Sub-Module Anomaly
1,4,Double Sub-Module Anomaly
1,4,Hot Spot - Edge
1,5,Broken Module
1,5,Hot Spot - Minor
1,5,Multiple Cell - Minor
1,5,Sub-Module Anomaly
1,5,Surface Fouling
1,6,Sub-Module Anomaly
